temperature, X, Y, Z
85.00,-1.37,-1.02,-7.73
temperature, X, Y, Z
85.00,-1.65,-0.71,-7.34
temperature, X, Y, Z
85.00,-3.77,-0.12,-8.28
temperature, X, Y, Z
85.00,-3.53,-0.55,-8.75
temperature, X, Y, Z
85.00,-0.55,-1.57,-8.59
temperature, X, Y, Z
85.00,-3.84,-0.55,-7.96
temperature, X, Y, Z
85.00,0.00,-1.84,-9.49
temperature, X, Y, Z
85.00,-0.94,-1.65,-8.51
temperature, X, Y, Z
85.00,-4.31,-2.47,-10.00
temperature, X, Y, Z
85.00,-0.90,-0.94,-9.92
temperature, X, Y, Z
85.00,-1.26,-1.18,-8.83
temperature, X, Y, Z
85.00,-0.08,-1.14,-9.14
temperature, X, Y, Z
85.00,-2.75,0.08,-8.71
temperature, X, Y, Z
85.00,-2.12,0.98,-8.47
temperature, X, Y, Z
85.00,-0.67,0.67,-9.18
temperature, X, Y, Z
85.00,-1.29,-1.45,-8.43
temperature, X, Y, Z
85.00,-1.65,-0.27,-9.26
temperature, X, Y, Z
85.00,-1.96,-0.63,-9.53
temperature, X, Y, Z
85.00,-0.16,-1.45,-7.92
temperature, X, Y, Z
85.00,-0.82,-1.65,-9.10
temperature, X, Y, Z
85.00,-2.28,-1.10,-9.57
temperature, X, Y, Z
85.00,-0.75,-1.10,-8.98
temperature, X, Y, Z
85.00,-4.39,-1.84,-8.08
temperature, X, Y, Z
85.00,-3.33,-0.04,-7.06
temperature, X, Y, Z
85.00,-0.08,0.67,-7.41
temperature, X, Y, Z
85.00,-5.06,-1.10,-7.65
temperature, X, Y, Z
85.00,-4.08,-0.98,-9.02
temperature, X, Y, Z
85.00,-3.88,-0.63,-7.92
temperature, X, Y, Z
85.00,-2.35,-0.67,-7.92
temperature, X, Y, Z
85.00,-2.28,-0.47,-8.24
temperature, X, Y, Z
85.00,-3.06,-2.47,-7.61
temperature, X, Y, Z
85.00,-1.57,-1.41,-7.18
temperature, X, Y, Z
85.00,-1.77,-0.43,-7.92
temperature, X, Y, Z
85.00,-2.35,-0.94,-8.43
temperature, X, Y, Z
85.00,-1.22,-1.06,-7.69
temperature, X, Y, Z
85.00,-2.16,-0.51,-9.30
temperature, X, Y, Z
85.00,-1.37,-1.37,-9.34
temperature, X, Y, Z
85.00,-1.92,-2.47,-10.32
temperature, X, Y, Z
85.00,0.82,-0.31,-8.83
temperature, X, Y, Z
85.00,-2.79,-0.75,-7.06
temperature, X, Y, Z
85.00,-3.02,-0.27,-7.73
temperature, X, Y, Z
85.00,-2.63,-1.37,-8.43
temperature, X, Y, Z
85.00,-3.96,-1.26,-7.81
temperature, X, Y, Z
85.00,-0.39,0.39,-9.34
temperature, X, Y, Z
85.00,-2.51,-1.10,-9.14
temperature, X, Y, Z
85.00,-2.51,-0.20,-7.45
temperature, X, Y, Z
85.00,-1.88,-2.71,-11.41
temperature, X, Y, Z
85.00,-3.10,0.51,-7.73
temperature, X, Y, Z
85.00,-2.08,-1.22,-8.00
temperature, X, Y, Z
85.00,-3.77,-1.73,-7.73
temperature, X, Y, Z
85.00,-3.22,-1.73,-7.53
temperature, X, Y, Z
85.00,-3.80,-2.35,-8.55
temperature, X, Y, Z
85.00,-3.88,-1.33,-8.39
temperature, X, Y, Z
85.00,-3.02,-1.29,-6.67
temperature, X, Y, Z
85.00,-2.39,-0.27,-11.49
temperature, X, Y, Z
85.00,-2.12,0.00,-8.24
temperature, X, Y, Z
85.00,-2.43,-1.26,-9.96
temperature, X, Y, Z
85.00,-4.59,-1.06,-6.63
temperature, X, Y, Z
85.00,-2.35,-1.49,-8.51
temperature, X, Y, Z
85.00,-1.41,1.06,-8.39
temperature, X, Y, Z
85.00,-3.02,0.04,-6.51
temperature, X, Y, Z
85.00,-3.96,0.94,-9.26
temperature, X, Y, Z
85.00,-2.86,-1.61,-6.94
temperature, X, Y, Z
85.00,-0.75,-0.24,-9.02
temperature, X, Y, Z
85.00,-3.53,-0.31,-8.32
temperature, X, Y, Z
85.00,-2.20,-2.12,-8.47
temperature, X, Y, Z
85.00,-2.98,-2.08,-7.96
temperature, X, Y, Z
85.00,-0.12,3.65,-7.81
temperature, X, Y, Z
85.00,-2.04,-2.00,-8.00
temperature, X, Y, Z
85.00,-2.43,-1.10,-8.87
temperature, X, Y, Z
85.00,-1.96,-0.55,-9.73
temperature, X, Y, Z
85.00,-2.39,-0.35,-7.65
temperature, X, Y, Z
85.00,-1.84,-1.61,-8.24
temperature, X, Y, Z
85.00,-1.65,1.73,-9.65
temperature, X, Y, Z
85.00,-1.88,-0.94,-8.24
temperature, X, Y, Z
85.00,-3.61,0.86,-9.41
temperature, X, Y, Z
85.00,-2.79,-1.29,-8.71
temperature, X, Y, Z
85.00,-2.12,-2.16,-8.75
temperature, X, Y, Z
85.00,-1.57,-0.35,-8.08
temperature, X, Y, Z
85.00,-4.31,-0.86,-9.53
temperature, X, Y, Z
85.00,-2.55,-0.04,-7.69
temperature, X, Y, Z
85.00,-2.51,-1.57,-8.75
temperature, X, Y, Z
85.00,-4.20,-1.14,-8.51
temperature, X, Y, Z
85.00,-3.37,-0.39,-7.34
temperature, X, Y, Z
85.00,-2.16,-1.69,-8.04
temperature, X, Y, Z
85.00,-1.92,-0.51,-10.00
temperature, X, Y, Z
85.00,-2.20,-1.26,-8.43
temperature, X, Y, Z
85.00,-4.28,-1.41,-8.75
temperature, X, Y, Z
85.00,-0.98,-3.18,-9.45
temperature, X, Y, Z
85.00,-0.35,-1.22,-8.32
temperature, X, Y, Z
85.00,-1.14,-0.20,-8.67
temperature, X, Y, Z
85.00,-0.86,-0.86,-8.08
temperature, X, Y, Z
85.00,-2.59,-0.43,-9.18
temperature, X, Y, Z
85.00,-2.55,0.20,-7.85
temperature, X, Y, Z
85.00,-3.14,-0.86,-7.85
temperature, X, Y, Z
85.00,-1.18,0.20,-9.61
temperature, X, Y, Z
85.00,-3.30,-4.20,-8.98
temperature, X, Y, Z
85.00,-1.92,-0.24,-8.67
temperature, X, Y, Z
85.00,-2.39,2.51,-7.49
temperature, X, Y, Z
85.00,-1.33,1.14,-9.18
temperature, X, Y, Z
85.00,-1.69,-1.02,-9.18
temperature, X, Y, Z
85.00,-1.61,-0.35,-10.04
temperature, X, Y, Z
85.00,-1.14,1.49,-8.08
temperature, X, Y, Z
85.00,-1.69,-1.29,-8.94
temperature, X, Y, Z
85.00,-3.53,-1.33,-7.02
temperature, X, Y, Z
85.00,-1.84,-0.78,-7.53
temperature, X, Y, Z
85.00,-2.39,-1.53,-11.06
temperature, X, Y, Z
85.00,-2.47,0.55,-7.49
temperature, X, Y, Z
85.00,-1.49,-0.08,-9.61
temperature, X, Y, Z
85.00,-1.80,-2.86,-7.45
temperature, X, Y, Z
85.00,-1.14,-0.75,-7.88
temperature, X, Y, Z
85.00,-2.00,-2.16,-9.41
temperature, X, Y, Z
85.00,-1.61,-1.84,-6.90
temperature, X, Y, Z
85.00,-2.86,-2.31,-8.20
temperature, X, Y, Z
85.00,-2.04,-1.14,-9.22
temperature, X, Y, Z
85.00,-1.77,-2.16,-9.06
temperature, X, Y, Z
85.00,-1.80,-1.57,-8.08
temperature, X, Y, Z
85.00,-0.86,-1.61,-8.71
temperature, X, Y, Z
85.00,-2.90,-0.51,-7.53
temperature, X, Y, Z
85.00,-2.16,-0.12,-8.87
temperature, X, Y, Z
85.00,-1.92,-1.10,-7.49
temperature, X, Y, Z
85.00,-3.77,-1.10,-7.53
temperature, X, Y, Z
85.00,-1.26,-0.04,-9.53
temperature, X, Y, Z
85.00,-1.49,-0.63,-8.79
temperature, X, Y, Z
85.00,-2.28,-0.59,-8.00
temperature, X, Y, Z
85.00,-1.61,-0.75,-8.39
temperature, X, Y, Z
85.00,-1.29,-0.94,-8.43
temperature, X, Y, Z
85.00,-2.82,0.78,-7.41
temperature, X, Y, Z
85.00,-1.77,-1.26,-7.02
temperature, X, Y, Z
85.00,-3.37,-2.24,-7.57
temperature, X, Y, Z
85.00,-2.51,-2.28,-8.12
temperature, X, Y, Z
85.00,-2.20,-1.88,-7.81
temperature, X, Y, Z
85.00,-2.63,0.51,-7.41
temperature, X, Y, Z
85.00,-2.04,-2.71,-10.08
temperature, X, Y, Z
85.00,-1.84,-0.08,-7.65
temperature, X, Y, Z
85.00,-2.82,-2.04,-8.67
temperature, X, Y, Z
85.00,-2.90,-1.02,-7.77
temperature, X, Y, Z
85.00,-2.63,0.63,-8.32
temperature, X, Y, Z
85.00,-3.69,-1.02,-8.94
temperature, X, Y, Z
85.00,-2.43,-2.20,-10.24
temperature, X, Y, Z
85.00,-1.61,-1.57,-10.83
temperature, X, Y, Z
85.00,-2.59,-3.77,-8.71
temperature, X, Y, Z
85.00,-1.92,-3.37,-10.12
temperature, X, Y, Z
85.00,-1.96,-0.39,-8.51
temperature, X, Y, Z
85.00,-3.22,-3.45,-10.16
temperature, X, Y, Z
85.00,-1.80,-0.08,-8.28
temperature, X, Y, Z
85.00,-1.53,-0.75,-10.00
temperature, X, Y, Z
85.00,-2.51,-1.84,-7.02
temperature, X, Y, Z
85.00,-2.90,-0.51,-8.59
temperature, X, Y, Z
85.00,-0.55,-0.63,-9.57
temperature, X, Y, Z
85.00,-2.47,1.84,-7.45
temperature, X, Y, Z
85.00,-2.43,-0.98,-9.77
temperature, X, Y, Z
85.00,-2.71,-1.10,-8.90
temperature, X, Y, Z
85.00,-2.35,-1.02,-9.38
temperature, X, Y, Z
85.00,-3.26,-1.33,-9.02
temperature, X, Y, Z
85.00,-2.08,-2.63,-9.61
temperature, X, Y, Z
85.00,-1.22,-1.80,-8.98
temperature, X, Y, Z
85.00,-1.22,-2.63,-9.10
temperature, X, Y, Z
85.00,-3.65,-0.59,-7.53
temperature, X, Y, Z
85.00,-0.47,-1.61,-7.81
temperature, X, Y, Z
85.00,-1.88,0.71,-11.49
temperature, X, Y, Z
85.00,-2.35,-1.49,-8.63
temperature, X, Y, Z
85.00,-4.04,-0.12,-7.14
temperature, X, Y, Z
85.00,-1.26,-2.00,-8.16
temperature, X, Y, Z
85.00,-4.00,-1.57,-8.98
temperature, X, Y, Z
85.00,-0.63,0.67,-8.75
temperature, X, Y, Z
85.00,-2.55,-1.33,-9.10
temperature, X, Y, Z
85.00,-2.43,-1.45,-9.53
temperature, X, Y, Z
85.00,-2.04,-2.55,-8.90
temperature, X, Y, Z
85.00,-1.65,1.14,-6.47
temperature, X, Y, Z
85.00,-1.14,-1.18,-9.69
temperature, X, Y, Z
85.00,-3.61,0.24,-9.45
temperature, X, Y, Z
85.00,-1.61,-1.06,-9.41
temperature, X, Y, Z
85.00,-2.12,-2.16,-9.41
temperature, X, Y, Z
85.00,-1.22,-1.88,-8.51
temperature, X, Y, Z
85.00,-1.29,1.14,-7.77
temperature, X, Y, Z
85.00,-1.84,-0.67,-8.20
temperature, X, Y, Z
85.00,-2.20,-0.20,-8.16
temperature, X, Y, Z
85.00,-1.26,-2.16,-9.26
temperature, X, Y, Z
85.00,-0.47,-2.59,-7.73
temperature, X, Y, Z
85.00,-0.90,-1.92,-8.71
temperature, X, Y, Z
85.00,-2.12,-0.24,-8.79
temperature, X, Y, Z
85.00,-1.84,-0.20,-8.98
temperature, X, Y, Z
85.00,-2.59,-1.06,-7.57
temperature, X, Y, Z
85.00,-1.02,-0.20,-8.55
temperature, X, Y, Z
85.00,-2.31,0.35,-9.30
temperature, X, Y, Z
85.00,-2.28,-0.08,-7.49
temperature, X, Y, Z
85.00,-2.04,-2.12,-7.57
temperature, X, Y, Z
85.00,-1.88,-0.90,-8.59
temperature, X, Y, Z
85.00,-1.14,-2.24,-9.38
temperature, X, Y, Z
85.00,-2.71,-2.12,-10.12
temperature, X, Y, Z
85.00,-3.45,-2.24,-8.28
temperature, X, Y, Z
85.00,-2.08,2.08,-7.18
temperature, X, Y, Z
85.00,-4.24,-0.98,-6.94
temperature, X, Y, Z
85.00,-2.12,-1.69,-7.34
temperature, X, Y, Z
85.00,-3.57,-2.35,-8.32
temperature, X, Y, Z
85.00,-0.31,1.53,-8.20
temperature, X, Y, Z
85.00,-0.63,-1.92,-9.41
temperature, X, Y, Z
85.00,-1.37,-2.24,-7.73
temperature, X, Y, Z
85.00,-2.16,-0.20,-8.67
temperature, X, Y, Z
85.00,-2.35,-2.39,-8.67
temperature, X, Y, Z
85.00,-1.26,-0.20,-9.06
temperature, X, Y, Z
85.00,-1.92,-0.08,-8.55
temperature, X, Y, Z
85.00,-1.73,2.20,-7.61
temperature, X, Y, Z
85.00,-1.88,0.31,-9.26
temperature, X, Y, Z
85.00,-0.86,0.59,-8.59
temperature, X, Y, Z
85.00,-1.41,-0.90,-6.67
temperature, X, Y, Z
85.00,-2.47,-3.10,-8.71
temperature, X, Y, Z
85.00,-1.29,-3.26,-9.92
temperature, X, Y, Z
85.00,-2.28,-1.10,-7.41
temperature, X, Y, Z
85.00,-3.26,-0.16,-7.26
temperature, X, Y, Z
85.00,-1.45,-2.39,-8.08
temperature, X, Y, Z
85.00,-1.96,-1.77,-8.94
temperature, X, Y, Z
85.00,-2.63,-2.08,-8.51
temperature, X, Y, Z
85.00,-1.80,0.00,-8.32
temperature, X, Y, Z
85.00,-1.49,2.04,-9.49
temperature, X, Y, Z
85.00,-2.43,-2.55,-9.69
temperature, X, Y, Z
85.00,-2.67,-2.43,-9.49
temperature, X, Y, Z
85.00,-2.28,-1.57,-6.98
temperature, X, Y, Z
85.00,-2.51,-0.04,-9.14
temperature, X, Y, Z
85.00,-1.84,-0.24,-8.71
temperature, X, Y, Z
85.00,-1.80,-0.55,-7.92
temperature, X, Y, Z
85.00,-1.69,-1.80,-9.22
temperature, X, Y, Z
85.00,-1.65,-0.04,-8.00
temperature, X, Y, Z
85.00,-1.65,0.24,-7.53
temperature, X, Y, Z
85.00,-1.45,-0.24,-10.59
temperature, X, Y, Z
85.00,-0.27,-1.26,-8.63
temperature, X, Y, Z
85.00,-1.49,-0.63,-8.28
temperature, X, Y, Z
85.00,-2.98,-0.04,-8.04
temperature, X, Y, Z
85.00,-1.53,0.00,-6.32
temperature, X, Y, Z
85.00,-3.14,-0.63,-10.00
temperature, X, Y, Z
85.00,-0.71,-2.39,-10.47
temperature, X, Y, Z
85.00,-1.10,-0.98,-8.12
temperature, X, Y, Z
85.00,-1.26,-2.20,-8.71
temperature, X, Y, Z
85.00,-3.30,-2.00,-8.16
temperature, X, Y, Z
85.00,-1.73,-3.02,-9.73
temperature, X, Y, Z
85.00,-2.51,0.31,-7.41
temperature, X, Y, Z
85.00,-1.80,-1.49,-6.71
temperature, X, Y, Z
85.00,-2.67,-1.10,-7.69
temperature, X, Y, Z
85.00,-1.77,-0.04,-8.94
temperature, X, Y, Z
85.00,-2.08,-0.71,-8.47
temperature, X, Y, Z
85.00,-2.35,-2.55,-8.83
temperature, X, Y, Z
85.00,-1.88,-2.39,-7.69
temperature, X, Y, Z
85.00,-0.71,0.90,-8.24
temperature, X, Y, Z
85.00,-2.16,-1.10,-9.77
temperature, X, Y, Z
85.00,-1.65,0.16,-8.87
temperature, X, Y, Z
85.00,-2.24,-2.75,-9.41
temperature, X, Y, Z
85.00,-0.63,-2.59,-10.00
temperature, X, Y, Z
85.00,-1.33,0.00,-11.02
temperature, X, Y, Z
85.00,-3.18,-1.18,-8.16
temperature, X, Y, Z
85.00,-1.77,-0.78,-8.63
temperature, X, Y, Z
85.00,-2.24,-3.37,-8.12
temperature, X, Y, Z
85.00,-0.16,0.39,-8.55
temperature, X, Y, Z
85.00,-1.06,-1.88,-7.26
temperature, X, Y, Z
85.00,-1.77,-1.02,-8.71
temperature, X, Y, Z
85.00,-2.51,-2.08,-10.67
temperature, X, Y, Z
85.00,-1.61,0.04,-8.71
temperature, X, Y, Z
85.00,-1.33,-1.84,-9.85
temperature, X, Y, Z
85.00,-2.43,0.08,-8.47
temperature, X, Y, Z
85.00,-2.43,-0.75,-7.65
temperature, X, Y, Z
85.00,-2.12,-0.90,-8.94
temperature, X, Y, Z
85.00,-2.63,-0.86,-7.41
temperature, X, Y, Z
85.00,-2.51,0.51,-7.77
temperature, X, Y, Z
85.00,-2.16,-0.71,-10.20
temperature, X, Y, Z
85.00,-1.14,-1.10,-6.71
temperature, X, Y, Z
85.00,-2.28,0.00,-9.18
temperature, X, Y, Z
85.00,-1.37,-3.22,-7.88
temperature, X, Y, Z
85.00,-3.88,0.00,-8.90
temperature, X, Y, Z
85.00,-2.08,-0.71,-8.94
temperature, X, Y, Z
85.00,-0.71,-2.63,-8.16
temperature, X, Y, Z
85.00,-2.12,-2.24,-8.98
temperature, X, Y, Z
85.00,-3.30,-1.69,-9.14
temperature, X, Y, Z
85.00,-2.04,-1.77,-7.61
temperature, X, Y, Z
85.00,-2.35,-0.67,-7.92
temperature, X, Y, Z
85.00,-1.37,-0.43,-10.16
temperature, X, Y, Z
85.00,-3.14,-2.00,-8.20
temperature, X, Y, Z
85.00,-1.80,-2.00,-10.51
temperature, X, Y, Z
85.00,-1.73,0.55,-8.00
temperature, X, Y, Z
85.00,-3.14,-1.69,-8.32
temperature, X, Y, Z
85.00,-0.55,-2.67,-10.24
temperature, X, Y, Z
85.00,-1.22,-3.57,-8.94
temperature, X, Y, Z
85.00,-2.16,1.18,-8.79
temperature, X, Y, Z
85.00,-3.45,-1.88,-8.94
temperature, X, Y, Z
85.00,-2.39,-0.47,-8.39
temperature, X, Y, Z
85.00,-2.47,-1.45,-10.00
temperature, X, Y, Z
85.00,-1.57,-0.35,-8.24
temperature, X, Y, Z
85.00,-3.10,0.08,-7.26
temperature, X, Y, Z
85.00,-1.69,-0.78,-9.49
temperature, X, Y, Z
85.00,-1.80,-1.26,-7.45
temperature, X, Y, Z
85.00,-1.73,-2.75,-7.77
temperature, X, Y, Z
85.00,-0.71,-1.73,-7.88
temperature, X, Y, Z
85.00,-2.94,-0.51,-7.26
temperature, X, Y, Z
85.00,-1.88,-0.35,-6.98
temperature, X, Y, Z
85.00,-2.59,-0.67,-7.96
temperature, X, Y, Z
85.00,-4.20,-2.00,-10.71
temperature, X, Y, Z
85.00,-1.26,1.26,-7.88
temperature, X, Y, Z
85.00,-1.06,0.04,-7.77
temperature, X, Y, Z
85.00,-0.12,2.31,-6.51
temperature, X, Y, Z
85.00,-3.14,-2.24,-8.71
temperature, X, Y, Z
85.00,-1.53,-1.29,-7.61
temperature, X, Y, Z
85.00,-2.39,0.78,-8.32
temperature, X, Y, Z
85.00,-5.73,-2.51,-9.34
temperature, X, Y, Z
85.00,0.63,0.24,-8.39
temperature, X, Y, Z
85.00,-1.22,-2.47,-8.79
temperature, X, Y, Z
85.00,-1.92,-2.20,-7.49
temperature, X, Y, Z
85.00,-2.79,-0.35,-6.28
temperature, X, Y, Z
85.00,-2.12,-1.10,-8.39
temperature, X, Y, Z
85.00,-1.61,-3.69,-8.55
temperature, X, Y, Z
85.00,-1.53,-0.20,-7.92
temperature, X, Y, Z
85.00,-2.08,-0.12,-8.39
temperature, X, Y, Z
85.00,-2.20,2.71,-8.43
temperature, X, Y, Z
85.00,-0.75,-1.45,-7.57
temperature, X, Y, Z
85.00,-0.51,-2.55,-10.63
temperature, X, Y, Z
85.00,-2.59,2.24,-8.47
temperature, X, Y, Z
85.00,-1.80,-0.47,-9.26
temperature, X, Y, Z
85.00,-3.06,-0.55,-9.14
temperature, X, Y, Z
85.00,-0.78,0.86,-10.71
temperature, X, Y, Z
85.00,-1.69,-1.02,-8.16
temperature, X, Y, Z
85.00,-2.39,-2.24,-8.32
temperature, X, Y, Z
85.00,-4.39,0.47,-7.49
temperature, X, Y, Z
85.00,-2.47,-0.59,-6.94
temperature, X, Y, Z
85.00,-2.39,0.35,-7.92
temperature, X, Y, Z
85.00,-2.04,-1.18,-7.85
temperature, X, Y, Z
85.00,-2.16,-1.57,-8.12
temperature, X, Y, Z
85.00,-4.51,0.47,-7.10
temperature, X, Y, Z
85.00,-2.94,-2.31,-7.57
temperature, X, Y, Z
85.00,-1.06,0.00,-8.28
temperature, X, Y, Z
85.00,-2.31,0.08,-9.18
temperature, X, Y, Z
85.00,-1.45,-3.10,-9.38
temperature, X, Y, Z
85.00,0.00,1.02,-7.53
temperature, X, Y, Z
85.00,-3.49,0.51,-7.92
temperature, X, Y, Z
85.00,-3.26,-0.08,-7.77
temperature, X, Y, Z
85.00,-1.92,-1.33,-8.71
temperature, X, Y, Z
85.00,-1.18,-1.65,-8.28
temperature, X, Y, Z
85.00,-2.35,-0.63,-7.69
temperature, X, Y, Z
85.00,-1.53,-1.92,-8.71
temperature, X, Y, Z
85.00,-3.80,-1.77,-7.73
temperature, X, Y, Z
85.00,-3.37,-0.55,-7.49
temperature, X, Y, Z
85.00,-1.57,0.00,-8.67
temperature, X, Y, Z
85.00,-2.12,-1.49,-8.63
temperature, X, Y, Z
85.00,-2.20,-0.82,-7.96
temperature, X, Y, Z
85.00,-2.51,-0.35,-7.37
temperature, X, Y, Z
85.00,-2.00,-1.18,-8.83
temperature, X, Y, Z
85.00,-2.86,0.59,-10.87
temperature, X, Y, Z
85.00,-1.96,-2.67,-7.77
temperature, X, Y, Z
85.00,-2.43,-1.18,-8.90
temperature, X, Y, Z
85.00,-2.79,-3.06,-10.00
temperature, X, Y, Z
85.00,-0.94,-3.06,-10.59
temperature, X, Y, Z
85.00,-4.08,0.47,-8.08
temperature, X, Y, Z
85.00,-1.77,-1.65,-9.18
temperature, X, Y, Z
85.00,-2.75,-1.06,-8.47
temperature, X, Y, Z
85.00,-1.45,-0.27,-8.71
temperature, X, Y, Z
85.00,-1.69,-0.75,-8.98
temperature, X, Y, Z
85.00,-0.71,-0.47,-10.08
temperature, X, Y, Z
85.00,-2.55,-0.08,-8.24
temperature, X, Y, Z
85.00,-1.06,-3.22,-9.22
temperature, X, Y, Z
85.00,-1.49,-2.39,-8.51
temperature, X, Y, Z
85.00,-1.65,0.63,-7.96
temperature, X, Y, Z
85.00,-0.78,-0.51,-7.73
temperature, X, Y, Z
85.00,-3.77,-0.16,-8.24
temperature, X, Y, Z
85.00,-3.96,-0.12,-9.53
temperature, X, Y, Z
85.00,-2.24,-2.39,-10.12
temperature, X, Y, Z
85.00,-1.84,-2.90,-8.75
temperature, X, Y, Z
85.00,-0.63,-1.61,-7.65
temperature, X, Y, Z
85.00,-3.33,-1.57,-9.77
temperature, X, Y, Z
85.00,-1.37,-1.73,-7.26
temperature, X, Y, Z
85.00,-2.16,0.94,-9.18
temperature, X, Y, Z
85.00,-3.80,0.63,-7.69
temperature, X, Y, Z
85.00,-2.86,0.31,-8.90
temperature, X, Y, Z
85.00,-2.28,-1.18,-8.00
temperature, X, Y, Z
85.00,-2.47,0.04,-8.47
temperature, X, Y, Z
85.00,-3.14,0.31,-6.55
temperature, X, Y, Z
85.00,-3.77,0.00,-7.96
temperature, X, Y, Z
85.00,-2.51,-2.12,-8.00
temperature, X, Y, Z
85.00,-0.75,2.00,-6.94
temperature, X, Y, Z
85.00,-2.79,-0.71,-8.83
temperature, X, Y, Z
85.00,-2.43,-1.29,-9.34
temperature, X, Y, Z
85.00,-3.61,-2.51,-10.08
temperature, X, Y, Z
85.00,-3.57,-0.08,-8.36
temperature, X, Y, Z
85.00,-2.12,-1.88,-7.26
temperature, X, Y, Z
85.00,-0.51,-2.51,-8.28
temperature, X, Y, Z
85.00,-1.33,-1.22,-8.16
temperature, X, Y, Z
85.00,-1.65,-2.55,-9.41
temperature, X, Y, Z
85.00,-1.10,-1.41,-8.63
temperature, X, Y, Z
85.00,-2.51,-1.84,-7.61
temperature, X, Y, Z
85.00,-1.61,-0.59,-7.81
temperature, X, Y, Z
85.00,-2.16,-0.94,-8.75
temperature, X, Y, Z
85.00,-2.47,-0.35,-8.00
temperature, X, Y, Z
85.00,-3.30,-2.00,-6.67
temperature, X, Y, Z
85.00,-0.43,1.02,-6.86
temperature, X, Y, Z
85.00,-1.37,-0.12,-9.65
temperature, X, Y, Z
85.00,-3.30,0.27,-8.67
temperature, X, Y, Z
85.00,-3.77,-0.90,-9.49
temperature, X, Y, Z
85.00,-1.29,-0.55,-8.28
temperature, X, Y, Z
85.00,-2.98,-1.57,-7.61
temperature, X, Y, Z
85.00,-2.86,1.45,-8.47
temperature, X, Y, Z
85.00,-1.61,-2.86,-9.69
temperature, X, Y, Z
85.00,-3.10,-2.43,-8.98
temperature, X, Y, Z
85.00,-2.55,-0.71,-8.08
temperature, X, Y, Z
85.00,-4.51,0.04,-7.45
temperature, X, Y, Z
85.00,-1.88,-1.65,-9.34
temperature, X, Y, Z
85.00,-2.47,-0.20,-8.08
temperature, X, Y, Z
85.00,0.00,1.10,-7.14
temperature, X, Y, Z
85.00,-2.08,0.00,-7.53
temperature, X, Y, Z
85.00,-1.96,-0.86,-8.20
temperature, X, Y, Z
85.00,-1.92,-0.94,-8.43
temperature, X, Y, Z
85.00,-2.43,0.63,-8.36
temperature, X, Y, Z
85.00,-1.92,-1.69,-8.00
temperature, X, Y, Z
85.00,-1.49,0.39,-8.90
temperature, X, Y, Z
85.00,-2.00,-0.39,-7.77
temperature, X, Y, Z
85.00,-3.10,-0.71,-9.34
temperature, X, Y, Z
85.00,-2.28,-0.75,-8.63
temperature, X, Y, Z
85.00,-1.26,-0.43,-8.79
temperature, X, Y, Z
85.00,-1.49,-0.59,-8.79
temperature, X, Y, Z
85.00,1.73,-1.02,-7.57
temperature, X, Y, Z
85.00,-2.16,0.63,-8.87
temperature, X, Y, Z
85.00,-2.55,0.08,-9.41
temperature, X, Y, Z
85.00,-2.35,0.04,-7.65
temperature, X, Y, Z
85.00,-2.75,0.67,-9.06
temperature, X, Y, Z
85.00,-2.04,0.27,-7.53
temperature, X, Y, Z
85.00,-1.29,-0.24,-8.90
temperature, X, Y, Z
85.00,-4.86,-1.80,-9.10
temperature, X, Y, Z
85.00,-1.88,1.33,-7.69
temperature, X, Y, Z
85.00,-0.86,-1.45,-8.67
temperature, X, Y, Z
85.00,-3.84,-2.90,-8.67
temperature, X, Y, Z
85.00,-2.16,-1.92,-8.20
temperature, X, Y, Z
85.00,-1.53,-1.53,-7.41
temperature, X, Y, Z
85.00,-2.82,-1.33,-7.69
temperature, X, Y, Z
85.00,-3.69,-4.08,-8.39
temperature, X, Y, Z
85.00,-1.57,0.67,-9.69
temperature, X, Y, Z
85.00,-4.67,-1.41,-9.69
temperature, X, Y, Z
85.00,-0.04,0.55,-8.16
temperature, X, Y, Z
85.00,-1.84,-0.20,-7.88
temperature, X, Y, Z
85.00,-1.22,-0.78,-8.51
temperature, X, Y, Z
85.00,0.63,0.00,-7.14
temperature, X, Y, Z
85.00,-3.33,-2.04,-9.85
temperature, X, Y, Z
85.00,-1.33,-1.49,-8.63
temperature, X, Y, Z
85.00,-3.10,-2.47,-8.04
temperature, X, Y, Z
85.00,-3.37,-1.61,-7.18
temperature, X, Y, Z
85.00,-0.67,-1.88,-8.16
temperature, X, Y, Z
85.00,-3.41,0.00,-8.83
temperature, X, Y, Z
85.00,-2.59,1.92,-10.16
temperature, X, Y, Z
85.00,-3.33,-0.35,-8.83
temperature, X, Y, Z
85.00,-2.71,-1.61,-8.32
temperature, X, Y, Z
85.00,-2.63,0.00,-7.69
temperature, X, Y, Z
85.00,-3.49,-1.22,-9.57
temperature, X, Y, Z
85.00,-0.86,0.39,-8.59
temperature, X, Y, Z
85.00,-1.41,-0.24,-7.26
temperature, X, Y, Z
85.00,-5.45,-1.10,-8.36
temperature, X, Y, Z
85.00,-1.45,-0.20,-8.98
temperature, X, Y, Z
85.00,-1.57,-2.55,-7.77
temperature, X, Y, Z
85.00,-2.98,-0.98,-8.20
temperature, X, Y, Z
85.00,-1.65,-1.96,-8.90
temperature, X, Y, Z
85.00,0.00,0.31,-7.69
temperature, X, Y, Z
85.00,-0.90,-0.90,-8.16
